,Unnamed: 0,date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
23219,377,1995-07-20,AAPL,0.00746,0.00787,amc,2575000000.0,2575000000.0,1995-06-29,2023-05-17
25633,292,1995-10-18,AAPL,0.00436,0.00473,amc,3003000000.0,4729725000.0,1995-09-28,2023-05-17
27731,139,1996-01-17,AAPL,-0.00501,-0.00316,amc,3148000000.0,1574000000.0,1995-12-28,2023-05-17
31057,267,1996-04-17,AAPL,-0.02,-0.01422,amc,2185000000.0,1560714285.7142856,1996-03-28,2023-05-17
33864,213,1996-07-17,AAPL,-0.00231,-0.00152,amc,2179000000.0,4358000000.0,1996-06-27,2023-05-17
36826,256,1996-10-16,AAPL,0.00179,0.00082,amc,2321000000.0,4386689999.0,1996-09-26,2023-05-17
37979,1409,1996-12-12,ORCL,0.03,0.03053,bmo,1311373000.0,1311373000.0,1996-11-29,2023-05-17
39105,79,1997-01-15,AAPL,-0.00832,-0.00561,amc,2129000000.0,1419333333.3333335,1996-12-26,2023-05-17
39183,157,1997-01-17,MSFT,0.07,0.06,amc,2680000000.0,2233333333.0,1996-12-30,2023-05-17
40932,1906,1997-03-13,ORCL,0.03,0.0303,bmo,1372612000.0,1372612000.0,1997-02-27,2023-05-17
42832,207,1997-04-16,AAPL,-0.07179,-0.0607,amc,1601000000.0,1280800000.0,1997-03-27,2023-05-17
42932,307,1997-04-17,MSFT,0.1,0.08,amc,3208000000.0,2566400000.0,1997-03-30,2023-05-17
44185,1560,1997-06-17,ORCL,0.06,0.06,bmo,1948031000.0,1948031000.0,1997-05-30,2023-05-17
46072,258,1997-07-16,AAPL,-0.00367,-0.00289,amc,1737000000.0,1737000000.0,1997-06-26,2023-05-17
46075,261,1997-07-17,MSFT,0.1,0.1,amc,3175000000.0,3175000000.0,1997-06-29,2023-05-17
47446,1632,1997-09-16,ORCL,0.03,0.0298,bmo,1368829000.0,1129283925.0,1997-08-30,2023-05-17
49469,387,1997-10-20,MSFT,0.09,0.09,amc,3130000000.0,3130000000.0,1997-09-29,2023-05-17
50729,1647,1997-12-08,ORCL,0.03,0.03667,bmo,1613727000.0,2017158750.0,1997-11-29,2023-05-17
52041,60,1998-01-14,AAPL,0.003,0.00245,amc,1578000000.0,1578000000.0,1997-12-25,2023-05-17
52244,263,1998-01-21,MSFT,0.11,0.1,amc,3585000000.0,3226500000.0,1997-12-30,2023-05-17
54103,2122,1998-03-12,ORCL,0.04,0.03527,bmo,1748757000.0,1748756998.5,1998-02-27,2023-05-17
56127,148,1998-04-15,AAPL,0.00337,0.00131,amc,1405000000.0,1405000000.0,1998-03-26,2023-05-17
56554,575,1998-04-22,MSFT,0.13,0.12,amc,3774000000.0,3459500000.0,1998-03-30,2023-05-17
57664,1685,1998-06-17,ORCL,0.07,0.06,bmo,2412553000.0,2010460833.0,1998-05-30,2023-05-17
59627,163,1998-07-15,AAPL,0.00525,0.00312,amc,1402000000.0,701000000.0,1998-06-25,2023-05-17
59687,223,1998-07-16,MSFT,0.13,0.12,amc,3995000000.0,3662083333.0,1998-06-29,2023-05-17
61239,1775,1998-09-10,ORCL,0.03,0.02448,bmo,1749110000.0,1749110000.0,1998-08-30,2023-05-17
63205,130,1998-10-14,AAPL,0.0055,0.00393,amc,1556000000.0,2450700000.0,1998-09-24,2023-05-17
63458,383,1998-10-20,MSFT,0.14,0.12,amc,3953000000.0,3388285714.2857137,1998-09-29,2023-05-17
64875,1800,1998-12-10,ORCL,0.05,0.04259,bmo,2055944000.0,1541958000.0,1998-11-29,2023-05-17
66265,60,1999-01-13,AAPL,0.00789,0.007,amc,1710000000.0,2500875000.0,1998-12-25,2023-05-17
66339,134,1999-01-19,MSFT,0.18,0.15,amc,4938000000.0,3950400000.0,1998-12-30,2023-05-17
68569,2364,1999-03-11,ORCL,0.05,0.05,bmo,2078919000.0,2078919000.0,1999-02-27,2023-05-17
70890,134,1999-04-14,AAPL,0.00696,0.00584,amc,1530000000.0,1530000000.0,1999-03-26,2023-05-17
71085,329,1999-04-20,MSFT,0.19,0.16,amc,4331000000.0,3518937500.0,1999-03-30,2023-05-17
72270,1514,1999-05-18,NVDA,0.00375,0.00282,bmo,71000000.0,35500000.0,1999-05-01,2023-05-17
72565,1809,1999-06-15,ORCL,0.09,0.08,bmo,2943278000.0,2575368250.0,1999-05-30,2023-05-17
74755,98,1999-07-14,AAPL,0.01038,0.00964,amc,1558000000.0,1558000000.0,1999-06-25,2023-05-17
74916,259,1999-07-19,MSFT,0.2,0.18,amc,6525000000.0,5800000000.0,1999-06-29,2023-05-17
76271,1614,1999-08-18,NVDA,0.00417,0.00399,bmo,78000000.0,78000000.0,1999-07-31,2023-05-17
76521,1864,1999-09-14,ORCL,0.04,0.03969,bmo,1984517000.0,1984517000.0,1999-08-30,2023-05-17
78705,73,1999-10-13,AAPL,0.00555,0.00493,amc,1336000000.0,2104200000.0,1999-09-24,2023-05-17
78931,299,1999-10-19,MSFT,0.19,0.17,amc,5384000000.0,4750588235.0,1999-09-29,2023-05-17
80276,1644,1999-11-18,NVDA,0.00625,0.00503,bmo,97000000.0,97000000.0,1999-10-30,2023-05-17
80539,1907,1999-12-14,ORCL,0.07,0.05,bmo,2321883000.0,2298664168.5,1999-11-29,2023-05-17
82123,116,2000-01-18,MSFT,0.24,0.21,amc,6112000000.0,5238857142.0,1999-12-30,2023-05-17
84040,2033,2000-02-15,NVDA,0.0081,0.0074,bmo,128400000.0,128500000.0,2000-01-29,2023-05-17
84608,2601,2000-03-14,ORCL,0.09,0.07,bmo,2449418000.0,1749584285.0,2000-02-28,2023-05-17
87643,490,2000-04-19,AAPL,0.01143,0.01043,amc,1945000000.0,1945000000.0,2000-03-31,2023-05-17
87734,581,2000-04-20,MSFT,0.22,0.2,amc,5656000000.0,5141818181.818182,2000-03-30,2023-05-17
88776,1623,2000-05-16,NVDA,0.0098,0.00819,bmo,148483000.0,111375000.0,2000-04-29,2023-05-17
89109,1956,2000-06-20,ORCL,0.16,0.13,bmo,3374310000.0,2595623076.0,2000-05-30,2023-05-17
91737,179,2000-07-18,AAPL,0.00987,0.00958,amc,1825000000.0,1825000000.0,2000-06-30,2023-05-17
91815,257,2000-07-18,MSFT,0.22,0.21,amc,5804000000.0,5527619047.0,2000-06-29,2023-05-17
93247,1689,2000-08-21,NVDA,0.0059,0.00548,bmo,170398000.0,136320000.0,2000-07-29,2023-05-17
93508,1950,2000-09-14,ORCL,0.09,0.06,bmo,2261875000.0,1866046875.0,2000-08-30,2023-05-17
96347,300,2000-10-18,MSFT,0.23,0.21,amc,5800000000.0,5295652173.913043,2000-09-29,2023-05-17
97619,1572,2000-11-09,NVDA,0.01455,0.05,bmo,198165000.0,165166666.6666667,2000-10-28,2023-05-17
98040,1993,2000-12-14,ORCL,0.11,0.1,bmo,2659546000.0,2393591400.0,2000-11-29,2023-05-17
100045,190,2001-01-18,MSFT,0.24,0.23,amc,6585000000.0,6310625000.0,2000-12-30,2023-05-17
102099,2244,2001-02-15,NVDA,0.016,0.1276,bmo,218218000.0,360030000.0,2001-01-27,2023-05-17
102620,2765,2001-03-15,ORCL,0.1,0.1,bmo,2674367000.0,2674367000.0,2001-02-27,2023-05-17
105930,482,2001-04-19,MSFT,0.22,0.21,amc,6456000000.0,6162545454.545454,2001-03-30,2023-05-17
107137,1689,2001-05-22,NVDA,0.02,0.01962,bmo,240932000.0,240900000.0,2001-04-28,2023-05-17
107414,1966,2001-06-18,ORCL,0.15,0.14,bmo,3263884000.0,3030749428.0,2001-05-30,2023-05-17
